Year_1,Seed_1,Team_1,ADJOE_1,ADJDE_1,BARTHAG_1,Record_1,Wins_1,Games_1,EFG%_1,EFGD%_1,FTR_1,FTRD_1,TOR_1,TORD_1,ORB_1,DRB_1,,2P%_1,2P%D_1,3P%_1,3P%D_1,,,ASTR_1,ASTRD_1,3PR_1,3PRD_1,ADJT_1,,,,,,,,SOS_1,,,Losses_1,Year_2,Seed_2,Team_2,ADJOE_2,ADJDE_2,BARTHAG_2,Record_2,Wins_2,Games_2,EFG%_2,EFGD%_2,FTR_2,FTRD_2,TOR_2,TORD_2,ORB_2,DRB_2,,2P%_2,2P%D_2,3P%_2,3P%D_2,,,ASTR_2,ASTRD_2,3PR_2,3PRD_2,ADJT_2,,,,,,,,SOS_2,,,Losses_2
,,Clemson,117.1111527,99.56602279,0.8660503625,21–11,21,32,53.9,48.7,30.6,31.2,14.9,13.6,27.7,25.2,67.6,54.4,47.1,35.4,34,11.2,6.8,53.4,44.1,40.2,40.6,67.2,,,,2024,,,,0.7934880358,79,74.4,,,,New Mexico,114.7507311,95.28383774,0.8945301238,25–9,25,34,51,48,33.1,33.5,13.9,19.5,33.4,27,72.4,51.4,49.2,33.4,30.6,13.5,9.6,49.3,54.2,29.8,36.6,73.8,,,,2024,,,,1.911226663,71.8,74,9
,,Baylor,122.3556469,100.2734796,0.9079496302,22–10,22,32,55.6,51.3,40.5,30.9,17.7,17.1,35.1,27.1,66.8,53.4,51.9,39.4,33.5,8.5,9.8,53.9,52.9,38.3,35.5,66.7,,,,2024,,,,4.8207069,74,73,,,,Colgate,102.2819227,102.3906138,0.4969465047,24–9,24,33,53.4,47.2,27.6,24.5,16.3,16.1,25,24.5,66.1,53.3,48.7,35.7,29.9,9.8,7.3,56.6,52.9,38.3,39.6,67.2,,,,2024,,,,-4.133785529,68,67,9
,,Dayton,117.8747684,100.7022399,0.859450011,24–7,24,31,56.6,47.9,37.2,21.8,15.8,15.7,26.9,29,64.6,53.7,48.2,40.2,31.7,11.3,10,58.3,50.7,44.5,40.4,65,,,,2024,,,,2.435603289,73.4,73.3,,,,Nevada,114.5391456,97.70037735,0.8615983333,25–7,25,32,53.3,48.2,46.2,34.3,15,17.3,27.5,27.2,67,52.6,49.1,36.5,31.3,11.2,6.7,58.1,54.9,33.6,41,67.8,,,,2024,,,,2.90787617,72.3,69.7,7
,,Arizona,121.5662749,93.40022438,0.9539554318,25–8,25,33,55,48.7,36.7,25.7,16.1,18.1,36.3,23.1,73.4,54.6,47.8,37.1,33.4,9,8.6,59.1,52.6,32.6,38.2,73,,,,2024,,,,4.84778154,71.9,71.1,,,,Long Beach St.,105.3645141,107.9354919,0.4311304877,19–14,19,33,48.9,51.2,38.1,32.6,17.1,18.5,33.3,29.6,71.9,49.7,50,31.3,35.1,12.6,5.9,55.1,59,28.3,43.6,72.4,,,,2024,,,,-8.10174726,71,72.4,14
,,Purdue,126.1259299,94.07363066,0.9668126295,29–4,29,33,56,47.7,42.8,23,16.5,14,37.4,24.7,69,53.2,48.1,40.8,31.4,9.6,6,64.5,55.1,35,37.2,68.6,,,,2024,,,,10.88590905,72.1,72.4,,,,Grambling St.,97.24971864,106.5675402,0.2588001661,17–14,17,31,48.2,49.1,39.6,33.9,20.5,19,28.1,32.7,66.5,47,48.4,34.1,33.7,8.3,7.9,40.6,55.1,29.8,33.4,65.9,,,,2024,,,,-8.046056929,70.6,73.8,14
,,Utah St.,114.2756811,99.93412893,0.8237812724,25–6,25,31,54.1,49.6,40,30.4,15.7,16.4,28.5,25.4,69.1,57.1,53.1,32.1,29,11.1,5.9,56.4,49,33.4,36.7,69.5,,,,2024,,,,3.495138654,71.2,72,,,,TCU,114.5229631,97.72365688,0.8610770344,21–12,21,33,51.9,50.3,35.1,35.7,17.9,20.8,35.5,28.6,70.6,51.2,50.9,35.6,32.8,10.2,8.7,59.5,56.4,30.2,35.2,70.9,,,,2024,,,,1.118433862,73,69.9,12
,,Gonzaga,120.4138275,98.17933019,0.9127428489,24–7,24,31,56.7,47.3,31.5,25.8,14,16.5,33.3,27.2,69.8,58.3,45.1,35.5,34,10.1,6.4,52.1,48.2,31.4,36.9,70.1,,,,2024,,,,2.452943017,72.6,72.7,,,,McNeese St.,111.7739647,101.6851805,0.747979754,26–3,26,29,54.9,47.8,40.6,33.9,14.2,23,32.1,30.4,66.8,52.8,46.3,39.4,33,12.8,9,51.8,57.9,33.6,48.1,66.3,,,,2024,,,,0.6487242663,69.5,71.4,3
,,Kansas,113.9451283,93.20569418,0.9097383321,21–10,21,31,53.4,47.6,32.8,28.5,16.4,16.8,25.3,26.4,69.6,54.8,45.3,33.3,33.8,11.1,7,66.5,51.1,29.7,41.1,69.9,,,,2024,,,,4.047104607,72.9,69.9,,,,Samford,112.1384927,102.7104017,0.7330092753,27–5,27,32,56.9,50,36.4,37,18.1,21.7,30.2,32,73.7,55.5,49.5,39.3,33.9,10.7,10.6,57.4,53.5,40.9,40.1,73.6,,,,2024,,,,0.03920845127,72.6,69.1,5
,,South Carolina,114.1615304,99.2694553,0.8330541636,26–7,26,33,50.8,48,31.8,30.8,15.5,14.9,33.1,28,64.7,51.1,46.8,33.5,33.6,8.2,13.4,60.2,47.3,41,31.2,64,,,,2024,,,,4.65202805,71.4,73,,,,Oregon,113.5384598,99.9349803,0.8127001373,23–11,23,34,51.8,51.5,32.3,32.8,14.8,17.9,28.7,27.1,68.6,52.7,51.6,33.6,34.3,9.8,9.3,50.7,50.1,36.7,36.2,68.1,,,,2024,,,,1.394463627,71.5,72.2,11
,,Creighton,119.9393717,96.54102382,0.9238405942,23–9,23,32,57.5,46.4,24.5,16.2,15.3,11.2,25.9,24.6,68,60.6,45.7,36.1,32.2,8.6,9.1,58.6,40.9,48.9,27.2,67.9,,,,2024,,,,4.139838736,78.1,78.7,,,,Akron,105.7713963,101.8706914,0.6063803309,22–10,22,32,52,48.6,33.6,29,17.2,16.6,29.5,25.6,66.7,54.8,50.7,32,30,8,7.8,48.2,45.4,41.5,36.8,66.7,,,,2024,,,,-4.508333916,72.4,69.4,10
,,Texas,118.3475667,98.39049307,0.8931986368,20–12,20,32,53.7,49,30.4,35,16.6,18.6,30.5,30,68.2,53.4,47.4,36.1,34.8,11.7,9,56.5,47.1,34.9,32.4,68.2,,,,2024,,,,0.9835692654,75.7,71.9,,,,Colorado St.,114.7880209,98.43732477,0.8541055591,22–10,22,32,54.6,49.3,32.6,31.8,14.8,16.9,24.3,27.5,66.5,57.6,48.5,33.2,34,8.1,8.6,65.7,48.7,38.3,34,66.9,,,,2024,,,,1.552113378,75.4,74.2,10
,,Tennessee,115.5194577,91.27466268,0.9375559871,24–8,24,32,51.5,45.4,34.3,35.8,14.6,18.9,32.4,28.6,70.6,51.6,44.3,34.2,31.4,13.6,8,61.2,49.5,41.3,41.4,70.2,,,,2024,,,,5.628063431,74.9,70.7,,,,Saint Peter's,97.27329045,100.5653748,0.4054611441,18–13,18,31,45,46.6,38.1,42.3,19.6,20.3,35.1,29.4,65.4,42.4,46.4,33.9,31.5,12.8,10.6,49,49.7,31.1,34.5,65,,,,2024,,,,-8.81749713,71.9,70.5,13
